Transaction_ID,Customer_ID,Transaction_Date,Amount,Payment_Method,Payment_Status,Failure_Reason,Customer_Age,Customer_Type,Previous_Successful_Payments,Previous_Failed_Payments,Retry_Count,Device_Type,Location,Hour,Day,Recovery_Outcome
TX100025,CUST7924,2025-01-01 07:16:19.723594,743.17,Debit Card,Success,None,49,Regular,3,2,1,iOS,Chennai,7,Wednesday,Not Required
TX100026,CUST6574,2025-01-01 07:33:46.912538,210.4,Debit Card,Failed,Card Expired,58,Regular,6,0,0,Android,Chennai,7,Wednesday,Not Recovered
TX100027,CUST5552,2025-01-01 07:51:14.101482,968.45,UPI,Success,None,30,Regular,6,2,0,Android,Ahmedabad,7,Wednesday,Not Required
TX100028,CUST3547,2025-01-01 08:08:41.290425,364.8,UPI,Success,None,57,Premium,13,2,2,Android,Mumbai,8,Wednesday,Not Required
TX100029,CUST4527,2025-01-01 08:26:08.479369,496.86,UPI,Failed,Limit Exceeded,48,New,6,2,0,Android,Hyderabad,8,Wednesday,Recovered
TX100030,CUST6514,2025-01-01 08:43:35.668313,364.42,UPI,Success,None,46,New,7,0,3,Android,Nagpur,8,Wednesday,Not Required
TX100031,CUST2674,2025-01-01 09:01:02.857257,4239.83,Debit Card,Success,None,37,Premium,7,0,3,Web,Delhi,9,Wednesday,Not Required
TX100032,CUST2519,2025-01-01 09:18:30.046200,656.22,UPI,Success,None,49,Regular,8,3,2,Android,Jaipur,9,Wednesday,Not Required
TX100033,CUST7224,2025-01-01 09:35:57.235144,230.97,UPI,Failed,Limit Exceeded,49,Regular,7,0,0,iOS,Delhi,9,Wednesday,Recovered
TX100034,CUST2584,2025-01-01 09:53:24.424088,1514.05,UPI,Success,None,38,New,5,2,2,iOS,Chennai,9,Wednesday,Not Required
TX100035,CUST6881,2025-01-01 10:10:51.613032,196.2,UPI,Success,None,19,Premium,5,4,1,iOS,Ahmedabad,10,Wednesday,Not Required
TX100036,CUST6635,2025-01-01 10:28:18.801976,819.64,UPI,Success,None,18,Regular,10,1,0,iOS,Ahmedabad,10,Wednesday,Not Required
TX100037,CUST5333,2025-01-01 10:45:45.990919,93.72,UPI,Success,None,57,New,6,3,1,iOS,Pune,10,Wednesday,Not Required
TX100038,CUST1711,2025-01-01 11:03:13.179863,176.23,UPI,Success,None,27,Regular,10,2,3,iOS,Delhi,11,Wednesday,Not Required
TX100039,CUST8527,2025-01-01 11:20:40.368807,809.86,UPI,Success,None,22,New,4,2,2,Web,Jaipur,11,Wednesday,Not Required
TX100040,CUST9785,2025-01-01 11:38:07.557751,1391.96,UPI,Success,None,31,Regular,4,4,3,Web,Mumbai,11,Wednesday,Not Required
TX100041,CUST3045,2025-01-01 11:55:34.746694,789.48,Credit Card,Success,None,44,Regular,6,2,2,iOS,Delhi,11,Wednesday,Not Required
TX100042,CUST7201,2025-01-01 12:13:01.935638,592.5,UPI,Success,None,27,Regular,5,2,3,Web,Pune,12,Wednesday,Not Required
TX100043,CUST2291,2025-01-01 12:30:29.124582,492.21,UPI,Success,None,48,Regular,7,6,0,Android,Delhi,12,Wednesday,Not Required
TX100044,CUST5803,2025-01-01 12:47:56.313526,151.64,UPI,Failed,Limit Exceeded,56,Regular,4,4,0,Android,Ahmedabad,12,Wednesday,Not Recovered
TX100045,CUST6925,2025-01-01 13:05:23.502470,323.81,Net Banking,Success,None,46,New,6,1,2,iOS,Kolkata,13,Wednesday,Not Required
TX100046,CUST4150,2025-01-01 13:22:50.691413,419.62,UPI,Success,None,30,New,6,2,3,Web,Chennai,13,Wednesday,Not Required
TX100047,CUST2139,2025-01-01 13:40:17.880357,1914.33,Wallet,Success,None,51,Regular,9,0,2,Android,Nagpur,13,Wednesday,Not Required
TX100048,CUST1750,2025-01-01 13:57:45.069301,937.88,UPI,Failed,Bank Error,25,Regular,4,2,1,Android,Jaipur,13,Wednesday,Recovered
TX100049,CUST4733,2025-01-01 14:15:12.258245,114.09,UPI,Success,None,29,Regular,10,5,0,iOS,Chennai,14,Wednesday,Not Required
TX100050,CUST5741,2025-01-01 14:32:39.447188,919.73,UPI,Success,None,50,New,6,2,3,Web,Mumbai,14,Wednesday,Not Required
TX100051,CUST2307,2025-01-01 14:50:06.636132,452.56,UPI,Failed,Insufficient Funds,33,Regular,4,0,2,iOS,Ahmedabad,14,Wednesday,Recovered
TX100052,CUST4814,2025-01-01 15:07:33.825076,338.01,Credit Card,Success,None,23,New,5,2,2,Android,Kolkata,15,Wednesday,Not Required
TX100053,CUST2654,2025-01-01 15:25:01.014020,1226.2,UPI,Success,None,43,Regular,4,3,2,iOS,Nagpur,15,Wednesday,Not Required
TX100054,CUST7227,2025-01-01 15:42:28.202964,1864.97,Debit Card,Success,None,58,New,10,3,1,Android,Kolkata,15,Wednesday,Not Required
TX100055,CUST5554,2025-01-01 15:59:55.391907,1687.97,Debit Card,Success,None,28,New,9,2,2,Android,Bangalore,15,Wednesday,Not Required
TX100056,CUST8428,2025-01-01 16:17:22.580851,287.37,Credit Card,Success,None,42,Regular,8,2,3,Android,Jaipur,16,Wednesday,Not Required
TX100057,CUST6977,2025-01-01 16:34:49.769795,488.23,Credit Card,Success,None,29,Regular,10,1,1,Android,Ahmedabad,16,Wednesday,Not Required
TX100058,CUST3664,2025-01-01 16:52:16.958739,926.36,Credit Card,Success,None,39,Regular,6,2,3,iOS,Delhi,16,Wednesday,Not Required
TX100059,CUST7065,2025-01-01 17:09:44.147682,1764.36,UPI,Success,None,26,Regular,8,5,3,Android,Nagpur,17,Wednesday,Not Required
TX100060,CUST6820,2025-01-01 17:27:11.336626,411.92,UPI,Failed,Card Expired,56,New,6,4,2,iOS,Bangalore,17,Wednesday,Recovered
TX100061,CUST4432,2025-01-01 17:44:38.525570,552.44,UPI,Success,None,28,Regular,5,0,2,iOS,Nagpur,17,Wednesday,Not Required
TX100062,CUST5374,2025-01-01 18:02:05.714514,220.01,UPI,Success,None,40,New,4,2,0,iOS,Nagpur,18,Wednesday,Not Required
TX100063,CUST2169,2025-01-01 18:19:32.903458,201.1,UPI,Success,None,19,Regular,8,3,1,Android,Jaipur,18,Wednesday,Not Required
TX100064,CUST3803,2025-01-01 18:37:00.092401,1498.96,Credit Card,Success,None,51,New,11,1,1,iOS,Ahmedabad,18,Wednesday,Not Required
TX100065,CUST9751,2025-01-01 18:54:27.281345,2581.79,Credit Card,Success,None,41,Premium,6,2,1,iOS,Mumbai,18,Wednesday,Not Required
TX100066,CUST5010,2025-01-01 19:11:54.470289,618.93,UPI,Success,None,47,Regular,2,4,2,iOS,Pune,19,Wednesday,Not Required
TX100067,CUST3677,2025-01-01 19:29:21.659233,1814.44,UPI,Success,None,18,New,11,2,2,Android,Delhi,19,Wednesday,Not Required
TX100068,CUST8573,2025-01-01 19:46:48.848176,954.93,UPI,Success,None,47,New,5,3,0,Web,Pune,19,Wednesday,Not Required
TX100069,CUST7216,2025-01-01 20:04:16.037120,348.93,UPI,Success,None,56,Regular,10,1,0,iOS,Bangalore,20,Wednesday,Not Required
TX100070,CUST5422,2025-01-01 20:21:43.226064,954.7,UPI,Failed,Limit Exceeded,37,Premium,8,1,0,Android,Bangalore,20,Wednesday,Recovered
TX100071,CUST4598,2025-01-01 20:39:10.415008,3096.53,UPI,Success,None,40,Regular,5,2,0,Android,Bangalore,20,Wednesday,Not Required
TX100072,CUST6313,2025-01-01 20:56:37.603952,641.73,UPI,Failed,Transaction Timeout,56,Regular,11,1,1,Android,Delhi,20,Wednesday,Not Recovered
TX100073,CUST1916,2025-01-01 21:14:04.792895,3180.02,UPI,Failed,Card Expired,23,New,5,2,2,Android,Bangalore,21,Wednesday,Not Recovered
TX100074,CUST4752,2025-01-01 21:31:31.981839,50.0,UPI,Success,None,32,Premium,7,1,1,iOS,Pune,21,Wednesday,Not Required
TX100075,CUST1525,2025-01-01 21:48:59.170783,1513.08,UPI,Success,None,40,Regular,10,5,0,iOS,Hyderabad,21,Wednesday,Not Required
TX100076,CUST6168,2025-01-01 22:06:26.359727,725.63,UPI,Success,None,32,Regular,8,2,2,iOS,Hyderabad,22,Wednesday,Not Required
TX100077,CUST7572,2025-01-01 22:23:53.548670,493.24,UPI,Success,None,22,New,5,4,0,Android,Delhi,22,Wednesday,Not Required
TX100078,CUST5386,2025-01-01 22:41:20.737614,729.06,UPI,Success,None,48,New,8,4,1,Android,Ahmedabad,22,Wednesday,Not Required
TX100079,CUST2084,2025-01-01 22:58:47.926558,91.14,Net Banking,Success,None,24,Regular,5,3,3,Android,Chennai,22,Wednesday,Not Required
TX100080,CUST4456,2025-01-01 23:16:15.115502,533.96,Debit Card,Success,None,48,Regular,6,2,1,Web,Delhi,23,Wednesday,Not Required
TX100081,CUST6155,2025-01-01 23:33:42.304446,950.62,UPI,Success,None,54,New,5,1,2,iOS,Chennai,23,Wednesday,Not Required
TX100082,CUST4483,2025-01-01 23:51:09.493389,2915.78,UPI,Success,None,44,Regular,6,2,0,Android,Jaipur,23,Wednesday,Not Required
TX100083,CUST9179,2025-01-02 00:08:36.682333,396.12,UPI,Success,None,43,Regular,9,3,3,Android,Pune,0,Thursday,Not Required
TX100084,CUST7482,2025-01-02 00:26:03.871277,296.34,UPI,Success,None,56,Regular,11,2,2,Android,Hyderabad,0,Thursday,Not Required
TX100085,CUST8517,2025-01-02 00:43:31.060221,402.72,UPI,Success,None,53,Regular,7,2,0,iOS,Mumbai,0,Thursday,Not Required
TX100086,CUST3340,2025-01-02 01:00:58.249164,1661.38,UPI,Success,None,54,Regular,9,4,2,Web,Pune,1,Thursday,Not Required
TX100087,CUST5339,2025-01-02 01:18:25.438108,924.04,UPI,Success,None,45,Regular,8,1,1,Android,Mumbai,1,Thursday,Not Required
TX100088,CUST3287,2025-01-02 01:35:52.627052,391.6,Net Banking,Success,None,52,Regular,5,2,3,Android,Mumbai,1,Thursday,Not Required
TX100089,CUST5040,2025-01-02 01:53:19.815996,1111.28,Wallet,Success,None,20,Regular,10,0,3,iOS,Pune,1,Thursday,Not Required
TX100090,CUST9830,2025-01-02 02:10:47.004940,732.95,Debit Card,Success,None,36,Premium,14,3,2,iOS,Bangalore,2,Thursday,Not Required
TX100091,CUST5304,2025-01-02 02:28:14.193883,1752.23,Debit Card,Failed,Incorrect Details,35,New,4,5,3,Android,Bangalore,2,Thursday,Not Recovered
TX100092,CUST8019,2025-01-02 02:45:41.382827,329.62,UPI,Success,None,47,Regular,5,1,2,Android,Chennai,2,Thursday,Not Required
TX100093,CUST7543,2025-01-02 03:03:08.571771,479.31,Debit Card,Success,None,44,Regular,10,3,0,Android,Chennai,3,Thursday,Not Required
TX100094,CUST6930,2025-01-02 03:20:35.760715,449.39,UPI,Success,None,34,Regular,13,2,1,Android,Delhi,3,Thursday,Not Required
TX100095,CUST4593,2025-01-02 03:38:02.949658,153.93,Wallet,Failed,Limit Exceeded,29,Regular,8,4,3,iOS,Bangalore,3,Thursday,Not Recovered
TX100096,CUST3266,2025-01-02 03:55:30.138602,894.37,Debit Card,Success,None,50,New,8,2,3,Android,Pune,3,Thursday,Not Required
TX100097,CUST9348,2025-01-02 04:12:57.327546,863.55,UPI,Success,None,49,Regular,6,3,2,iOS,Mumbai,4,Thursday,Not Required
TX100098,CUST9085,2025-01-02 04:30:24.516490,668.55,Debit Card,Success,None,59,Premium,3,1,0,Android,Bangalore,4,Thursday,Not Required
TX100099,CUST2489,2025-01-02 04:47:51.705434,526.06,UPI,Success,None,32,Regular,4,5,2,iOS,Nagpur,4,Thursday,Not Required
TX100100,CUST1771,2025-01-02 05:05:18.894377,161.52,UPI,Success,None,20,Regular,11,2,1,Android,Bangalore,5,Thursday,Not Required
TX100101,CUST2796,2025-01-02 05:22:46.083321,436.75,Net Banking,Success,None,44,New,11,1,0,iOS,Pune,5,Thursday,Not Required
TX100102,CUST3504,2025-01-02 05:40:13.272265,472.14,UPI,Success,None,26,New,6,1,1,Web,Mumbai,5,Thursday,Not Required
TX100103,CUST3621,2025-01-02 05:57:40.461209,298.19,Debit Card,Success,None,56,New,8,3,0,iOS,Mumbai,5,Thursday,Not Required
TX100104,CUST7916,2025-01-02 06:15:07.650153,566.07,UPI,Success,None,26,Premium,3,4,2,Android,Kolkata,6,Thursday,Not Required
TX100105,CUST2040,2025-01-02 06:32:34.839096,996.3,UPI,Success,None,24,Regular,4,4,1,Android,Bangalore,6,Thursday,Not Required
TX100106,CUST7304,2025-01-02 06:50:02.028040,4386.06,Debit Card,Failed,Incorrect Details,54,Regular,8,1,2,Android,Bangalore,6,Thursday,Not Recovered
TX100107,CUST7252,2025-01-02 07:07:29.216984,792.01,Net Banking,Success,None,23,New,7,2,0,Web,Kolkata,7,Thursday,Not Required
TX100108,CUST8668,2025-01-02 07:24:56.405928,860.53,UPI,Success,None,20,Regular,4,1,2,Web,Kolkata,7,Thursday,Not Required
TX100109,CUST9669,2025-01-02 07:42:23.594871,617.42,UPI,Failed,Card Expired,58,Regular,6,4,2,iOS,Ahmedabad,7,Thursday,Recovered
TX100110,CUST5119,2025-01-02 07:59:50.783815,97.63,Credit Card,Success,None,48,New,9,1,3,Web,Hyderabad,7,Thursday,Not Required
TX100111,CUST1188,2025-01-02 08:17:17.972759,647.74,Credit Card,Success,None,30,Regular,11,3,2,Android,Bangalore,8,Thursday,Not Required
TX100112,CUST2876,2025-01-02 08:34:45.161703,706.43,Credit Card,Failed,Network Error,35,Regular,4,5,3,Web,Chennai,8,Thursday,Not Recovered
TX100113,CUST9797,2025-01-02 08:52:12.350647,7810.64,Debit Card,Success,None,19,New,6,2,2,Web,Jaipur,8,Thursday,Not Required
TX100114,CUST5371,2025-01-02 09:09:39.539590,548.75,Debit Card,Success,None,45,New,5,2,0,Android,Jaipur,9,Thursday,Not Required
TX100115,CUST6573,2025-01-02 09:27:06.728534,899.24,UPI,Failed,Insufficient Funds,28,Regular,15,0,2,Android,Delhi,9,Thursday,Recovered
TX100116,CUST2827,2025-01-02 09:44:33.917478,642.45,UPI,Success,None,22,Regular,4,2,2,Android,Delhi,9,Thursday,Not Required
TX100117,CUST5808,2025-01-02 10:02:01.106422,206.71,UPI,Success,None,34,New,8,5,3,Android,Bangalore,10,Thursday,Not Required
TX100118,CUST8123,2025-01-02 10:19:28.295365,2085.62,Credit Card,Success,None,28,Regular,6,3,0,iOS,Mumbai,10,Thursday,Not Required
TX100119,CUST3591,2025-01-02 10:36:55.484309,1410.83,Net Banking,Success,None,54,Regular,4,3,2,iOS,Chennai,10,Thursday,Not Required
TX100120,CUST8433,2025-01-02 10:54:22.673253,1467.08,Credit Card,Success,None,55,Premium,5,0,3,iOS,Kolkata,10,Thursday,Not Required
TX100121,CUST1053,2025-01-02 11:11:49.862197,267.9,Credit Card,Success,None,26,Regular,4,1,0,iOS,Pune,11,Thursday,Not Required
TX100122,CUST5315,2025-01-02 11:29:17.051141,2704.83,Debit Card,Success,None,20,Premium,6,0,1,Android,Chennai,11,Thursday,Not Required
TX100123,CUST9201,2025-01-02 11:46:44.240084,163.72,UPI,Success,None,32,New,9,1,3,Web,Chennai,11,Thursday,Not Required
TX100124,CUST3927,2025-01-02 12:04:11.429028,1196.14,UPI,Success,None,39,New,6,3,2,iOS,Pune,12,Thursday,Not Required
TX100125,CUST9317,2025-01-02 12:21:38.617972,5945.89,UPI,Failed,Transaction Timeout,59,Premium,8,1,2,Android,Kolkata,12,Thursday,Not Recovered
TX100126,CUST2743,2025-01-02 12:39:05.806916,247.02,Wallet,Success,None,32,Regular,6,5,0,iOS,Hyderabad,12,Thursday,Not Required
TX100127,CUST5889,2025-01-02 12:56:32.995859,377.55,Net Banking,Success,None,20,New,5,1,1,iOS,Jaipur,12,Thursday,Not Required
TX100128,CUST9317,2025-01-02 13:14:00.184803,734.84,Debit Card,Success,None,25,Regular,10,4,0,iOS,Hyderabad,13,Thursday,Not Required
TX100129,CUST4258,2025-01-02 13:31:27.373747,402.03,UPI,Success,None,31,Regular,7,3,1,iOS,Kolkata,13,Thursday,Not Required
TX100130,CUST3504,2025-01-02 13:48:54.562691,141.08,Credit Card,Success,None,40,New,10,1,2,Web,Kolkata,13,Thursday,Not Required
TX100131,CUST7126,2025-01-02 14:06:21.751635,712.35,UPI,Success,None,23,Regular,9,0,1,Android,Jaipur,14,Thursday,Not Required
TX100132,CUST3646,2025-01-02 14:23:48.940578,229.91,Debit Card,Success,None,33,Regular,6,1,2,iOS,Ahmedabad,14,Thursday,Not Required
TX100133,CUST9837,2025-01-02 14:41:16.129522,1068.05,UPI,Failed,Transaction Timeout,35,Regular,4,3,2,iOS,Bangalore,14,Thursday,Recovered
TX100134,CUST9689,2025-01-02 14:58:43.318466,265.22,UPI,Success,None,58,New,5,1,3,iOS,Jaipur,14,Thursday,Not Required
TX100135,CUST1009,2025-01-02 15:16:10.507410,3133.59,UPI,Success,None,56,New,9,0,3,Web,Jaipur,15,Thursday,Not Required
TX100136,CUST6310,2025-01-02 15:33:37.696353,303.91,Credit Card,Success,None,58,Regular,3,2,3,iOS,Jaipur,15,Thursday,Not Required
TX100137,CUST9005,2025-01-02 15:51:04.885297,482.0,Debit Card,Success,None,21,New,8,0,1,Android,Delhi,15,Thursday,Not Required
TX100138,CUST1319,2025-01-02 16:08:32.074241,1500.45,UPI,Success,None,39,New,7,4,2,iOS,Mumbai,16,Thursday,Not Required
TX100139,CUST2832,2025-01-02 16:25:59.263185,194.25,Debit Card,Success,None,45,Regular,7,4,3,iOS,Mumbai,16,Thursday,Not Required
TX100140,CUST6947,2025-01-02 16:43:26.452129,835.02,Debit Card,Success,None,18,Regular,12,2,0,Android,Bangalore,16,Thursday,Not Required
TX100141,CUST6038,2025-01-02 17:00:53.641072,2458.1,Debit Card,Success,None,31,Regular,11,4,3,Web,Jaipur,17,Thursday,Not Required
TX100142,CUST4923,2025-01-02 17:18:20.830016,133.29,Debit Card,Success,None,24,Regular,9,1,3,iOS,Kolkata,17,Thursday,Not Required
TX100143,CUST1949,2025-01-02 17:35:48.018960,800.02,UPI,Success,None,43,Regular,10,2,2,iOS,Kolkata,17,Thursday,Not Required
TX100144,CUST4946,2025-01-02 17:53:15.207904,862.54,Net Banking,Success,None,39,Regular,10,1,0,Android,Mumbai,17,Thursday,Not Required
TX100145,CUST2290,2025-01-02 18:10:42.396847,1453.64,UPI,Success,None,28,Regular,10,3,2,Android,Bangalore,18,Thursday,Not Required
TX100146,CUST2403,2025-01-02 18:28:09.585791,193.07,UPI,Success,None,23,Regular,8,1,3,iOS,Kolkata,18,Thursday,Not Required
TX100147,CUST8962,2025-01-02 18:45:36.774735,177.6,Credit Card,Success,None,53,New,5,2,1,iOS,Jaipur,18,Thursday,Not Required
TX100148,CUST2133,2025-01-02 19:03:03.963679,1120.96,UPI,Success,None,31,New,17,0,1,Android,Ahmedabad,19,Thursday,Not Required
TX100149,CUST9727,2025-01-02 19:20:31.152623,895.14,Wallet,Success,None,55,Regular,3,2,3,Android,Hyderabad,19,Thursday,Not Required
TX100150,CUST3060,2025-01-02 19:37:58.341566,854.48,Credit Card,Success,None,40,Regular,10,1,0,iOS,Pune,19,Thursday,Not Required
TX100151,CUST3103,2025-01-02 19:55:25.530510,940.53,UPI,Success,None,47,New,5,1,2,Web,Kolkata,19,Thursday,Not Required
TX100152,CUST8787,2025-01-02 20:12:52.719454,336.96,Wallet,Success,None,30,Premium,8,2,3,iOS,Chennai,20,Thursday,Not Required
TX100153,CUST3705,2025-01-02 20:30:19.908398,839.04,Credit Card,Failed,Insufficient Funds,47,Premium,6,2,2,Android,Kolkata,20,Thursday,Recovered
TX100154,CUST5342,2025-01-02 20:47:47.097341,891.65,Credit Card,Success,None,33,Regular,7,2,2,iOS,Bangalore,20,Thursday,Not Required
TX100155,CUST9645,2025-01-02 21:05:14.286285,325.59,UPI,Failed,Incorrect Details,59,Premium,11,2,2,Android,Kolkata,21,Thursday,Recovered
TX100156,CUST7932,2025-01-02 21:22:41.475229,4297.44,Net Banking,Success,None,57,Regular,11,1,3,iOS,Pune,21,Thursday,Not Required
TX100157,CUST4470,2025-01-02 21:40:08.664173,1068.31,UPI,Failed,Insufficient Funds,36,Regular,5,0,1,Android,Ahmedabad,21,Thursday,Not Recovered
TX100158,CUST9835,2025-01-02 21:57:35.853117,202.09,UPI,Success,None,27,New,6,1,3,iOS,Hyderabad,21,Thursday,Not Required
TX100159,CUST4295,2025-01-02 22:15:03.042060,1282.48,Credit Card,Success,None,48,Regular,5,1,3,Android,Ahmedabad,22,Thursday,Not Required
TX100160,CUST6107,2025-01-02 22:32:30.231004,250.97,Net Banking,Success,None,26,New,12,3,0,Android,Delhi,22,Thursday,Not Required
TX100161,CUST7537,2025-01-02 22:49:57.419948,1461.3,UPI,Success,None,23,Regular,6,2,1,Android,Pune,22,Thursday,Not Required
TX100162,CUST7118,2025-01-02 23:07:24.608892,2118.78,UPI,Success,None,34,New,10,4,0,Web,Bangalore,23,Thursday,Not Required
TX100163,CUST8177,2025-01-02 23:24:51.797835,292.75,Debit Card,Success,None,37,Regular,13,3,3,Android,Chennai,23,Thursday,Not Required
TX100164,CUST9479,2025-01-02 23:42:18.986779,1743.02,Debit Card,Success,None,56,Regular,5,4,0,Android,Hyderabad,23,Thursday,Not Required
TX100165,CUST8397,2025-01-02 23:59:46.175723,1005.04,UPI,Success,None,41,Regular,7,2,3,Android,Delhi,23,Thursday,Not Required
TX100166,CUST2982,2025-01-03 00:17:13.364667,1513.32,Net Banking,Failed,Card Expired,45,Regular,8,6,1,Android,Delhi,0,Friday,Recovered
TX100167,CUST5061,2025-01-03 00:34:40.553611,4432.83,UPI,Failed,Transaction Timeout,37,New,11,2,3,Android,Pune,0,Friday,Not Recovered
TX100168,CUST4681,2025-01-03 00:52:07.742554,520.41,UPI,Success,None,53,Regular,7,0,2,iOS,Pune,0,Friday,Not Required
TX100169,CUST2049,2025-01-03 01:09:34.931498,313.02,UPI,Failed,Transaction Timeout,26,New,8,1,2,Web,Pune,1,Friday,Not Recovered
TX100170,CUST6539,2025-01-03 01:27:02.120442,273.28,UPI,Success,None,41,Regular,7,3,0,Web,Mumbai,1,Friday,Not Required
TX100171,CUST1344,2025-01-03 01:44:29.309386,294.18,UPI,Success,None,42,Regular,4,3,1,iOS,Kolkata,1,Friday,Not Required
TX100172,CUST4770,2025-01-03 02:01:56.498329,615.79,UPI,Success,None,30,New,9,4,3,Android,Nagpur,2,Friday,Not Required
TX100173,CUST4608,2025-01-03 02:19:23.687273,935.57,UPI,Success,None,50,Regular,10,2,1,Android,Hyderabad,2,Friday,Not Required
TX100174,CUST1117,2025-01-03 02:36:50.876217,877.16,Debit Card,Success,None,41,Regular,8,1,0,Android,Chennai,2,Friday,Not Required
TX100175,CUST2163,2025-01-03 02:54:18.065161,1521.09,Debit Card,Success,None,25,New,11,1,0,iOS,Kolkata,2,Friday,Not Required
TX100176,CUST1964,2025-01-03 03:11:45.254105,673.85,Credit Card,Success,None,58,Regular,10,3,1,Web,Nagpur,3,Friday,Not Required
TX100177,CUST4750,2025-01-03 03:29:12.443048,2845.61,UPI,Failed,Network Error,58,Regular,8,4,3,iOS,Jaipur,3,Friday,Not Recovered
TX100178,CUST2104,2025-01-03 03:46:39.631992,510.48,UPI,Success,None,57,New,5,2,0,iOS,Chennai,3,Friday,Not Required
TX100179,CUST1514,2025-01-03 04:04:06.820936,10098.77,Wallet,Success,None,49,New,12,3,2,iOS,Hyderabad,4,Friday,Not Required
TX100180,CUST6413,2025-01-03 04:21:34.009880,1243.48,Credit Card,Success,None,59,Regular,7,5,3,Android,Jaipur,4,Friday,Not Required
TX100181,CUST2160,2025-01-03 04:39:01.198823,282.26,Debit Card,Success,None,26,Regular,11,4,1,Android,Pune,4,Friday,Not Required
